NSS.FRAC.M2.D07155.S0946.E1127.B0323536.SV,2007,155,4141056,803434,-0.107525139,0.085811597
NSS.FRAC.M2.D07155.S1126.E1308.B0323637.SV,2007,155,1353728,179782,-0.097245182,0.072967447
NSS.FRAC.M2.D07155.S1307.E1447.B0323738.SV,2007,155,841728,123994,-0.078594801,0.063800082
NSS.FRAC.M2.D07155.S1447.E1627.B0323839.SV,2007,155,163840,42201,-0.092358077,0.073602264
NSS.FRAC.M2.D07155.S1626.E1808.B0323940.SV,2007,155,841728,272535,-0.09497649,0.077922775
NSS.FRAC.M2.D07155.S1807.E1823.B0324040.SV,2007,155,843776,155529,-0.111179836,0.068762289
NSS.FRAC.M2.D07155.S1948.E2130.B0324142.SV,2007,155,1296384,142674,-0.131882465,0.108983078
NSS.FRAC.M2.D07155.S2129.E2312.B0324243.SV,2007,155,3303424,582436,-0.243913506,0.176691327
NSS.FRAC.M2.D07155.S2312.E0055.B0324344.SV,2007,155,3485696,741484,-0.232649748,0.18490908
NSS.FRAC.M2.D07156.S0054.E0237.B0324445.SV,2007,156,2721792,880874,-0.220731329,0.168432991
NSS.FRAC.M2.D07156.S0236.E0420.B0324546.SV,2007,156,1298432,301521,-0.123463128,0.091263737
NSS.FRAC.M2.D07156.S0602.E0745.B0324748.SV,2007,156,1544192,297583,-0.101862765,0.087336812
NSS.FRAC.M2.D07156.S0744.E0926.B0324849.SV,2007,156,2576384,406579,-0.113651107,0.107073243
NSS.FRAC.M2.D07156.S0925.E1107.B0324950.SV,2007,156,4890624,522977,-0.09980217,0.075237121
NSS.FRAC.M2.D07156.S1106.E1247.B0325051.SV,2007,156,1558528,76916,-0.073384737,0.059315961
NSS.FRAC.M2.D07156.S1246.E1426.B0325152.SV,2007,156,880640,111610,-0.082968671,0.061286201
NSS.FRAC.M2.D07156.S1426.E1607.B0325253.SV,2007,156,1034240,309181,-0.123039434,0.088152877
NSS.FRAC.M2.D07156.S1607.E1747.B0325354.SV,2007,156,571392,177168,-0.14481358,0.092468027
NSS.FRAC.M2.D07156.S1746.E1928.B0325455.SV,2007,156,841728,55202,-0.126725863,0.115896657
NSS.FRAC.M2.D07156.S1927.E2109.B0325556.SV,2007,156,1146880,136261,-0.14077103,0.157461504
NSS.FRAC.M2.D07156.S2108.E2251.B0325657.SV,2007,156,2418688,519348,-0.135657137,0.122821856
NSS.FRAC.M2.D07156.S2251.E0033.B0325758.SV,2007,156,3844096,618574,-0.174330931,0.176038542
NSS.FRAC.M2.D07157.S0033.E0216.B0325859.SV,2007,157,2920448,353312,-0.164968645,0.182345264
NSS.FRAC.M2.D07157.S0215.E0359.B0325960.SV,2007,157,1634304,219002,-0.110739226,0.0932591
