NSS.FRAC.M2.D11154.S1938.E2120.B2398384.SV,2011,154,70726513,1251328,64725,-0.1431513128529373,0.0920456849155287
NSS.FRAC.M2.D11154.S2119.E2302.B2398485.SV,2011,154,76770347,2949120,797316,-0.1534769461030859,0.12280980067809685
NSS.FRAC.M2.D11154.S2301.E0046.B2398586.SV,2011,154,82887015,4018176,1285522,-0.13754932358877398,0.12331812825292544
NSS.FRAC.M2.D11155.S0043.E0228.B2398687.SV,2011,155,2639850,2861056,1005103,-0.11937152975103112,0.12088084580724165
NSS.FRAC.M2.D11155.S0226.E0411.B2398788.SV,2011,155,8813519,1658880,500130,-0.12216364856677632,0.1285145667270344
NSS.FRAC.M2.D11155.S0409.E0554.B2398889.SV,2011,155,14988354,849920,122661,-0.09903903528211477,0.06429729336553247
NSS.FRAC.M2.D11155.S0552.E0735.B2398990.SV,2011,155,21141189,1511424,241452,-0.11291321073133262,0.07380549015262144
NSS.FRAC.M2.D11155.S0734.E0917.B2399091.SV,2011,155,27257857,2471936,305040,-0.11427223748862146,0.08369433101939142
NSS.FRAC.M2.D11155.S0915.E1057.B2399192.SV,2011,155,33332691,5396480,414054,-0.1391595518607361,0.13597050249362896
NSS.FRAC.M2.D11155.S1056.E1238.B2399293.SV,2011,155,39378526,1652736,124615,-0.1417976892408373,0.12492625939550088
NSS.FRAC.M2.D11155.S1236.E1417.B2399394.SV,2011,155,45393194,917504,76888,-0.08861412019574792,0.06736609508833093
NSS.FRAC.M2.D11155.S1416.E1557.B2399495.SV,2011,155,51392032,612352,47850,-0.09416009851381553,0.06938864022128682
NSS.FRAC.M2.D11155.S1556.E1738.B2399596.SV,2011,155,57416867,841728,68212,-0.08195797456433761,0.06766620890857693
NSS.FRAC.M2.D11155.S1737.E1919.B2399697.SV,2011,155,63475868,841728,30686,-0.11881148404369263,0.11077039609390602
NSS.FRAC.M2.D11155.S1917.E2100.B2399798.SV,2011,155,69444536,1107968,39376,-0.11172750414876056,0.06766215617715207
