,,Time,,,,
Year,Files,Day,Hour,Minute,Second,Total Seconds
2007-2008,5092,1,9,20,0.06,120000.06
2008-2009,5147,1,5,25,25.27,105925.27
2009-2010,4656,1,2,16,34.21,94594.21
2010-2011,5159,1,6,29,23.56,109763.56
2011-2012,6148,1,6,27,7.33,109627.33
2012-2013,6119,1,5,38,1.01,0
2013-2014,4882,1,4,17,20.94,0
2014-2015,,,,,,0
2015-2016,,,,,,0
2016-2017,,,,,,0
2017-2018,,,,,,0
2018-2019,,,,,,0
